feature
ecfp4_1083
ecfp4_456
ecfp4_802
ecfp4_1027
ecfp4_535
ecfp4_1096
maccs_152
ecfp4_1160
ecfp4_257
ecfp4_1459
ecfp4_1745
maccs_25
ecfp4_270
ecfp4_341
ecfp4_635
ecfp4_1019
Kappa3
ecfp4_366
ecfp4_437
ecfp4_1601
maccs_144
ecfp4_1070
ecfp4_993
ecfp4_701
ecfp4_1304
maccs_112
ecfp4_1697
ecfp4_729
ecfp4_1255
maccs_89
ecfp4_915
SlogP_VSA1
ecfp4_506
SlogP_VSA3
ecfp4_1385
ecfp4_1939
ecfp4_667
maccs_94
maccs_80
ecfp4_896
ecfp4_1535
maccs_129
PEOE_VSA2
maccs_77
ecfp4_1138
ecfp4_935
maccs_69
ecfp4_1855
ecfp4_1099
maccs_149
ecfp4_1582
VSA_EState2
ecfp4_715
maccs_91
ecfp4_807
ecfp4_806
maccs_106
ecfp4_1984
ecfp4_407
Kappa1
ecfp4_1057
ecfp4_461
PEOE_VSA1
ecfp4_1387
ecfp4_1831
NumAromaticAtoms
ecfp4_275
ecfp4_1754
ecfp4_1324
maccs_110
MolWt
NOCount
PEOE_VSA3
maccs_146
maccs_150
VSA_EState1
ecfp4_1795
MolLogP
BalabanJ
maccs_59
maccs_145
ecfp4_1800
ecfp4_1542
ecfp4_389
ecfp4_1325
HallKierAlpha
ecfp4_1665
ecfp4_881
maccs_140
HeavyAtomCount
ecfp4_1457
ecfp4_1529
EState_VSA1
TPSA
ecfp4_1696
ecfp4_1921
ecfp4_486
maccs_37
ecfp4_680
ecfp4_964
